Year	CO2	CH4	N2O	SO2	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	NOx	CO	NMVOC	NH3	BMB_AEROS_BC	BMB_AEROS_OC	BC	OC	SO4_IND	TROP_O3	STRAT_O3	STRAT_H2O	BMB_AEROS	LANDUSE	OTHER
1750	8.37192e-02	1.90198e+01	5.47102e-02	1.22246e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05088e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.87150e+00	3.48527e+02	6.00218e+01	6.92769e+00	1.35325e+00	1.25203e+01	7.44520e-01	2.92740e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1751	8.52118e-02	1.89151e+01	5.57438e-02	1.20660e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05107e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.82806e+00	3.43926e+02	5.90881e+01	6.86014e+00	1.33527e+00	1.22793e+01	7.37652e-01	2.90944e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1752	8.67328e-02	1.88897e+01	5.67969e-02	1.20096e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05125e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.82866e+00	3.41809e+02	5.86320e+01	6.81948e+00	1.32662e+00	1.21218e+01	7.37695e-01	2.91266e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1753	8.82808e-02	1.91214e+01	5.78699e-02	1.20776e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05104e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.81211e+00	3.43675e+02	5.90263e+01	6.88144e+00	1.32856e+00	1.22493e+01	7.43391e-01	2.93321e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1754	8.98583e-02	1.95091e+01	5.89632e-02	1.23349e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05074e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.84160e+00	3.49816e+02	6.02699e+01	7.01519e+00	1.34655e+00	1.25936e+01	7.52796e-01	2.96514e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1755	9.14648e-02	1.95005e+01	6.00772e-02	1.22362e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05092e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.88086e+00	3.48145e+02	5.98249e+01	6.94399e+00	1.34987e+00	1.24007e+01	7.49299e-01	2.95749e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1756	9.32772e-02	1.94625e+01	6.12122e-02	1.21201e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05086e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.77451e+00	3.43323e+02	5.89468e+01	6.92271e+00	1.31826e+00	1.22317e+01	7.50654e-01	2.96403e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1757	9.49433e-02	2.00235e+01	6.23686e-02	1.25624e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05091e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.99248e+00	3.55942e+02	6.12637e+01	7.04767e+00	1.38486e+00	1.26997e+01	7.63066e-01	3.00515e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1758	9.66401e-02	1.99340e+01	6.35469e-02	1.24235e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05097e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.94572e+00	3.51840e+02	6.04346e+01	6.99546e+00	1.37003e+00	1.25447e+01	7.50579e-01	2.96991e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1759	9.83680e-02	2.01415e+01	6.47474e-02	1.23924e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05084e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.87677e+00	3.51508e+02	6.04453e+01	7.04596e+00	1.35645e+00	1.25697e+01	7.60815e-01	3.00435e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1760	1.00127e-01	2.04168e+01	6.59707e-02	1.25137e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05040e+02	2.48569e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.72327e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00712e-02	0.00000e+00	3.86466e+00	3.54418e+02	6.10517e+01	7.12805e+00	1.36282e+00	1.27989e+01	7.64988e-01	3.02020e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
