Year	OHC700	OHCTOT
1750	-1.13943e-02	-1.14759e-02
1751	-2.88582e-02	-2.93314e-02
1752	-4.23864e-02	-4.34483e-02
1753	-5.32124e-02	-5.49593e-02
1754	-6.23658e-02	-6.48527e-02
1755	-7.00381e-02	-7.33012e-02
1756	-7.60976e-02	-8.01533e-02
1757	-8.13526e-02	-8.62049e-02
1758	-8.59305e-02	-9.15867e-02
1759	-8.97251e-02	-9.61859e-02
1760	-9.34362e-02	-1.00704e-01
1761	-9.68717e-02	-1.04956e-01
1762	-9.92119e-02	-1.08114e-01
1763	-1.00387e-01	-1.10090e-01
1764	-1.00273e-01	-1.10750e-01
1765	-9.93705e-02	-1.10583e-01
1766	-9.78117e-02	-1.09724e-01
1767	-9.53315e-02	-1.07902e-01
1768	-9.27882e-02	-1.05973e-01
1769	-8.99192e-02	-1.03687e-01
1770	-8.64086e-02	-1.00719e-01
1771	-8.19445e-02	-9.67500e-02
1772	-7.62360e-02	-9.14738e-02
1773	-6.98699e-02	-8.54683e-02
1774	-6.37856e-02	-7.96811e-02
1775	-5.76316e-02	-7.37742e-02
1776	-5.06850e-02	-6.70159e-02
1777	-4.33652e-02	-5.98171e-02
1778	-3.63518e-02	-5.28640e-02
1779	-2.91393e-02	-4.56588e-02
1780	-2.16336e-02	-3.80994e-02
1781	-1.39386e-02	-3.02903e-02
1782	-5.69214e-03	-2.18639e-02
1783	2.92407e-03	-1.29948e-02
1784	1.18144e-02	-3.77854e-03
1785	2.06955e-02	5.50177e-03
1786	2.96564e-02	1.49303e-02
1787	3.85992e-02	2.44107e-02
1788	4.71980e-02	3.36108e-02
1789	5.61835e-02	4.32598e-02
1790	6.57245e-02	5.35403e-02
1791	7.57814e-02	6.44178e-02
1792	8.63750e-02	7.59205e-02
1793	9.72545e-02	8.78002e-02
1794	1.07957e-01	9.95900e-02
1795	1.18837e-01	1.11639e-01
1796	1.30485e-01	1.24548e-01
1797	1.42374e-01	1.37796e-01
1798	1.54234e-01	1.51110e-01
1799	1.66675e-01	1.65098e-01
1800	1.79614e-01	1.79691e-01
1801	1.92971e-01	1.94809e-01
1802	2.06829e-01	2.10539e-01
1803	2.21445e-01	2.27145e-01
1804	2.36755e-01	2.44571e-01
1805	2.52426e-01	2.62488e-01
1806	2.68640e-01	2.81076e-01
1807	2.85395e-01	3.00340e-01
1808	3.02403e-01	3.19992e-01
1809	3.20181e-01	3.40551e-01
1810	3.38878e-01	3.62180e-01
1811	3.58459e-01	3.84851e-01
1812	3.78975e-01	4.08624e-01
1813	4.00188e-01	4.33266e-01
1814	4.21387e-01	4.58064e-01
1815	4.42782e-01	4.83217e-01
1816	4.64726e-01	5.09085e-01
1817	4.87069e-01	5.35520e-01
1818	5.09466e-01	5.62177e-01
1819	5.32364e-01	5.89501e-01
1820	5.55626e-01	6.17363e-01
1821	5.79014e-01	6.45520e-01
1822	6.03026e-01	6.74476e-01
1823	6.27676e-01	7.04253e-01
1824	6.52680e-01	7.34570e-01
1825	6.77758e-01	7.65144e-01
1826	7.03131e-01	7.96195e-01
1827	7.28612e-01	8.27537e-01
1828	7.53770e-01	8.58733e-01
1829	7.79267e-01	8.90441e-01
1830	8.04476e-01	9.22039e-01
1831	8.29874e-01	9.53994e-01
1832	8.55837e-01	9.86695e-01
1833	8.81666e-01	1.01944e+00
1834	9.06947e-01	1.05181e+00
1835	9.32033e-01	1.08415e+00
1836	9.56615e-01	1.11615e+00
1837	9.80517e-01	1.14761e+00
1838	1.00386e+00	1.17866e+00
1839	1.02718e+00	1.20982e+00
1840	1.05076e+00	1.24139e+00
1841	1.07424e+00	1.27302e+00
1842	1.09786e+00	1.30494e+00
1843	1.12270e+00	1.33824e+00
1844	1.14896e+00	1.37315e+00
1845	1.17598e+00	1.40901e+00
1846	1.20441e+00	1.44650e+00
1847	1.23357e+00	1.48495e+00
1848	1.26233e+00	1.52319e+00
1849	1.29107e+00	1.56162e+00
1850	1.32019e+00	1.60062e+00
1851	1.34937e+00	1.63989e+00
1852	1.37859e+00	1.67938e+00
1853	1.40834e+00	1.71960e+00
1854	1.43828e+00	1.76021e+00
1855	1.46873e+00	1.80153e+00
1856	1.49929e+00	1.84317e+00
1857	1.53116e+00	1.88633e+00
1858	1.56506e+00	1.93176e+00
1859	1.59920e+00	1.97768e+00
1860	1.63252e+00	2.02302e+00
1861	1.66641e+00	2.06914e+00
1862	1.70195e+00	2.11715e+00
1863	1.73875e+00	2.16669e+00
1864	1.77740e+00	2.21834e+00
1865	1.81852e+00	2.27278e+00
1866	1.86176e+00	2.32967e+00
1867	1.90655e+00	2.38845e+00
1868	1.95375e+00	2.44999e+00
1869	2.00174e+00	2.51268e+00
1870	2.05029e+00	2.57630e+00
1871	2.09915e+00	2.64056e+00
1872	2.14630e+00	2.70344e+00
1873	2.19182e+00	2.76497e+00
1874	2.23927e+00	2.82871e+00
1875	2.28677e+00	2.89284e+00
1876	2.33321e+00	2.95618e+00
1877	2.38049e+00	3.02067e+00
1878	2.42962e+00	3.08732e+00
1879	2.47876e+00	3.15432e+00
1880	2.52420e+00	3.21792e+00
1881	2.56887e+00	3.28096e+00
1882	2.61353e+00	3.34428e+00
1883	2.65612e+00	3.40575e+00
1884	2.69987e+00	3.46863e+00
1885	2.74672e+00	3.53490e+00
1886	2.79607e+00	3.60402e+00
1887	2.84607e+00	3.67415e+00
1888	2.89284e+00	3.74137e+00
1889	2.93974e+00	3.80896e+00
1890	2.98554e+00	3.87575e+00
1891	3.02809e+00	3.93952e+00
1892	3.07089e+00	4.00375e+00
1893	3.11774e+00	4.07231e+00
1894	3.16757e+00	4.14419e+00
1895	3.21575e+00	4.21478e+00
1896	3.26185e+00	4.28354e+00
1897	3.30763e+00	4.35226e+00
1898	3.35154e+00	4.41934e+00
1899	3.38923e+00	4.48040e+00
1900	3.42202e+00	4.53663e+00
1901	3.45383e+00	4.59195e+00
1902	3.48635e+00	4.64810e+00
1903	3.51371e+00	4.69921e+00
1904	3.54105e+00	4.75031e+00
1905	3.56856e+00	4.80172e+00
1906	3.59247e+00	4.84959e+00
1907	3.60940e+00	4.89049e+00
1908	3.63764e+00	4.94271e+00
1909	3.67541e+00	5.00481e+00
1910	3.71098e+00	5.06501e+00
1911	3.75115e+00	5.13008e+00
1912	3.79228e+00	5.19643e+00
1913	3.82754e+00	5.25715e+00
1914	3.88228e+00	5.33762e+00
1915	3.95547e+00	5.43733e+00
1916	4.01676e+00	5.52578e+00
1917	4.06629e+00	5.60272e+00
1918	4.12197e+00	5.68605e+00
1919	4.21618e+00	5.80860e+00
1920	4.31880e+00	5.94080e+00
1921	4.44089e+00	6.09344e+00
1922	4.57728e+00	6.26185e+00
1923	4.68321e+00	6.40076e+00
1924	4.77885e+00	6.52975e+00
1925	4.88249e+00	6.66732e+00
1926	4.98948e+00	6.80897e+00
1927	5.08741e+00	6.94220e+00
1928	5.18178e+00	7.07233e+00
1929	5.26961e+00	7.19640e+00
1930	5.37198e+00	7.33549e+00
1931	5.51438e+00	7.51576e+00
1932	5.69480e+00	7.73580e+00
1933	5.87634e+00	7.95889e+00
1934	6.03088e+00	8.15623e+00
1935	6.16162e+00	8.33048e+00
1936	6.27539e+00	8.48818e+00
1937	6.37194e+00	8.62893e+00
1938	6.48240e+00	8.78390e+00
1939	6.59910e+00	8.94593e+00
1940	6.69058e+00	9.08323e+00
1941	6.76790e+00	9.20648e+00
1942	6.84669e+00	9.33137e+00
1943	6.93113e+00	9.46229e+00
1944	7.03233e+00	9.61058e+00
1945	7.17893e+00	9.80543e+00
1946	7.35419e+00	1.00308e+01
1947	7.50358e+00	1.02318e+01
1948	7.62980e+00	1.04104e+01
1949	7.77095e+00	1.06046e+01
1950	7.90308e+00	1.07908e+01
1951	8.01374e+00	1.09561e+01
1952	8.12767e+00	1.11251e+01
1953	8.25172e+00	1.13049e+01
1954	8.38762e+00	1.14975e+01
1955	8.51121e+00	1.16787e+01
1956	8.61460e+00	1.18402e+01
1957	8.71641e+00	1.20004e+01
1958	8.83142e+00	1.21744e+01
1959	8.95132e+00	1.23541e+01
1960	9.07074e+00	1.25341e+01
1961	9.14791e+00	1.26723e+01
1962	9.20260e+00	1.27877e+01
1963	9.27873e+00	1.29245e+01
1964	9.36539e+00	1.30724e+01
1965	9.46608e+00	1.32349e+01
1966	9.58852e+00	1.34202e+01
1967	9.75178e+00	1.36477e+01
1968	9.93764e+00	1.38997e+01
1969	1.01277e+01	1.41576e+01
1970	1.03178e+01	1.44171e+01
1971	1.05316e+01	1.47019e+01
1972	1.07772e+01	1.50207e+01
1973	1.10238e+01	1.53425e+01
1974	1.12962e+01	1.56923e+01
1975	1.16216e+01	1.60977e+01
1976	1.19580e+01	1.65174e+01
1977	1.23021e+01	1.69475e+01
1978	1.26779e+01	1.74122e+01
1979	1.30741e+01	1.79006e+01
1980	1.34895e+01	1.84114e+01
1981	1.39482e+01	1.89691e+01
1982	1.44567e+01	1.95810e+01
1983	1.49938e+01	2.02259e+01
1984	1.55419e+01	2.08864e+01
1985	1.61024e+01	2.15635e+01
1986	1.66820e+01	2.22640e+01
1987	1.72729e+01	2.29803e+01
1988	1.78725e+01	2.37096e+01
1989	1.84824e+01	2.44535e+01
1990	1.91039e+01	2.52135e+01
1991	1.97542e+01	2.60068e+01
1992	2.04259e+01	2.68266e+01
1993	2.11104e+01	2.76640e+01
1994	2.18215e+01	2.85331e+01
1995	2.25497e+01	2.94247e+01
1996	2.32831e+01	3.03267e+01
1997	2.40369e+01	3.12544e+01
1998	2.48058e+01	3.22026e+01
1999	2.55896e+01	3.31712e+01
2000	2.63716e+01	3.41435e+01
2001	2.71340e+01	3.51014e+01
2002	2.78975e+01	3.60650e+01
2003	2.86468e+01	3.70194e+01
2004	2.93646e+01	3.79466e+01
2005	3.00558e+01	3.88511e+01
2006	3.07446e+01	3.97571e+01
2007	3.14534e+01	4.06874e+01
2008	3.21882e+01	4.16484e+01
2009	3.29588e+01	4.26505e+01
2010	3.37582e+01	4.36869e+01
2011	3.45625e+01	4.47340e+01
2012	3.53793e+01	4.57991e+01
2013	3.62110e+01	4.68847e+01
2014	3.70549e+01	4.79882e+01
2015	3.79776e+01	4.91767e+01
2016	3.89636e+01	5.04361e+01
2017	3.99666e+01	5.17198e+01
2018	4.09884e+01	5.30296e+01
2019	4.20286e+01	5.43652e+01
2020	4.30866e+01	5.57256e+01
2021	4.41420e+01	5.70905e+01
2022	4.51820e+01	5.84468e+01
2023	4.62105e+01	5.97978e+01
2024	4.72294e+01	6.11455e+01
2025	4.82404e+01	6.24911e+01
2026	4.92442e+01	6.38356e+01
2027	5.02420e+01	6.51798e+01
2028	5.12341e+01	6.65242e+01
2029	5.22214e+01	6.78695e+01
2030	5.32041e+01	6.92160e+01
2031	5.41879e+01	7.05692e+01
2032	5.51758e+01	7.19323e+01
2033	5.61661e+01	7.33038e+01
2034	5.71579e+01	7.46826e+01
2035	5.81505e+01	7.60681e+01
2036	5.91434e+01	7.74595e+01
2037	6.01359e+01	7.88566e+01
2038	6.11279e+01	8.02588e+01
2039	6.21189e+01	8.16658e+01
2040	6.31087e+01	8.30774e+01
2041	6.40975e+01	8.44936e+01
2042	6.50852e+01	8.59143e+01
2043	6.60712e+01	8.73389e+01
2044	6.70552e+01	8.87671e+01
2045	6.80368e+01	9.01983e+01
2046	6.90158e+01	9.16324e+01
2047	6.99919e+01	9.30690e+01
2048	7.09648e+01	9.45079e+01
2049	7.19346e+01	9.59488e+01
2050	7.29010e+01	9.73916e+01
2051	7.38606e+01	9.88328e+01
2052	7.48113e+01	1.00270e+02
2053	7.57534e+01	1.01704e+02
2054	7.66871e+01	1.03134e+02
2055	7.76124e+01	1.04561e+02
2056	7.85294e+01	1.05983e+02
2057	7.94380e+01	1.07403e+02
2058	8.03383e+01	1.08818e+02
2059	8.12304e+01	1.10229e+02
2060	8.21143e+01	1.11637e+02
2061	8.29880e+01	1.13039e+02
2062	8.38506e+01	1.14434e+02
2063	8.47024e+01	1.15822e+02
2064	8.55438e+01	1.17204e+02
2065	8.63750e+01	1.18579e+02
2066	8.71960e+01	1.19948e+02
2067	8.80070e+01	1.21311e+02
2068	8.88082e+01	1.22668e+02
2069	8.95996e+01	1.24018e+02
2070	9.03813e+01	1.25363e+02
2071	9.11530e+01	1.26700e+02
2072	9.19143e+01	1.28031e+02
2073	9.26648e+01	1.29354e+02
2074	9.34041e+01	1.30669e+02
2075	9.41319e+01	1.31975e+02
2076	9.48480e+01	1.33273e+02
2077	9.55521e+01	1.34562e+02
2078	9.62440e+01	1.35841e+02
2079	9.69235e+01	1.37110e+02
2080	9.75905e+01	1.38370e+02
2081	9.82456e+01	1.39620e+02
2082	9.88894e+01	1.40861e+02
2083	9.95214e+01	1.42093e+02
2084	1.00141e+02	1.43315e+02
2085	1.00749e+02	1.44526e+02
2086	1.01343e+02	1.45727e+02
2087	1.01925e+02	1.46917e+02
2088	1.02494e+02	1.48095e+02
2089	1.03050e+02	1.49262e+02
2090	1.03592e+02	1.50417e+02
2091	1.04119e+02	1.51559e+02
2092	1.04631e+02	1.52687e+02
2093	1.05129e+02	1.53803e+02
2094	1.05613e+02	1.54905e+02
2095	1.06083e+02	1.55994e+02
2096	1.06539e+02	1.57071e+02
2097	1.06981e+02	1.58135e+02
2098	1.07411e+02	1.59186e+02
2099	1.07827e+02	1.60225e+02
2100	1.08229e+02	1.61252e+02
