Year	RIB_glob	RIB_N	RIB_S
1750	-1.58634e-02	-2.70788e-02	-4.64797e-03
1751	-1.19249e-02	-2.13233e-02	-2.52646e-03
1752	-9.17120e-03	-1.81505e-02	-1.91860e-04
1753	-7.54051e-03	-1.65279e-02	1.44689e-03
1754	-6.61558e-03	-1.58378e-02	2.60660e-03
1755	-5.42275e-03	-1.45414e-02	3.69590e-03
1756	-4.23853e-03	-1.32847e-02	4.80769e-03
1757	-4.16365e-03	-1.36648e-02	5.33749e-03
1758	-3.38766e-03	-1.27301e-02	5.95478e-03
1759	-2.97706e-03	-1.23157e-02	6.36153e-03
1760	-3.25001e-03	-1.27148e-02	6.21475e-03
1761	-2.71737e-03	-1.22261e-02	6.79132e-03
1762	-1.65913e-03	-1.09836e-02	7.66532e-03
1763	-9.20092e-04	-1.03684e-02	8.52824e-03
1764	2.28013e-04	-8.97820e-03	9.43422e-03
1765	3.66891e-04	-9.25846e-03	9.99224e-03
1766	1.11081e-03	-8.43673e-03	1.06583e-02
1767	1.77738e-03	-7.78884e-03	1.13436e-02
1768	1.31462e-03	-8.74525e-03	1.13745e-02
1769	2.10492e-03	-7.70361e-03	1.19134e-02
1770	2.38456e-03	-7.48926e-03	1.22584e-02
1771	3.48303e-03	-5.96567e-03	1.29317e-02
1772	4.34813e-03	-5.07691e-03	1.37732e-02
1773	4.57080e-03	-4.93808e-03	1.40797e-02
1774	3.99961e-03	-5.94665e-03	1.39459e-02
1775	4.55718e-03	-5.19138e-03	1.43057e-02
1776	5.26426e-03	-4.36029e-03	1.48888e-02
1777	5.25832e-03	-4.65864e-03	1.51753e-02
1778	4.86337e-03	-5.20992e-03	1.49366e-02
1779	5.49107e-03	-4.28845e-03	1.52706e-02
1780	5.46238e-03	-4.54871e-03	1.54735e-02
1781	5.78654e-03	-4.23427e-03	1.58073e-02
1782	6.34889e-03	-3.52528e-03	1.62231e-02
1783	6.47309e-03	-3.41063e-03	1.63568e-02
1784	6.80245e-03	-2.93498e-03	1.65399e-02
1785	6.58561e-03	-3.41867e-03	1.65899e-02
1786	6.92016e-03	-3.03280e-03	1.68731e-02
1787	6.70480e-03	-3.41235e-03	1.68219e-02
1788	6.45881e-03	-4.05092e-03	1.69685e-02
1789	7.26074e-03	-2.96202e-03	1.74835e-02
1790	7.48746e-03	-2.80090e-03	1.77758e-02
1791	8.08652e-03	-2.02238e-03	1.81954e-02
1792	8.42768e-03	-1.67630e-03	1.85317e-02
1793	8.62001e-03	-1.47952e-03	1.87195e-02
1794	8.28959e-03	-2.25774e-03	1.88369e-02
1795	8.86943e-03	-1.47828e-03	1.92171e-02
1796	9.57784e-03	-5.97385e-04	1.97531e-02
1797	9.43424e-03	-1.11239e-03	1.99809e-02
1798	9.57758e-03	-1.14511e-03	2.03003e-02
1799	1.03597e-02	-2.28529e-04	2.09480e-02
1800	1.05342e-02	-2.46033e-04	2.13144e-02
1801	1.10603e-02	3.31754e-04	2.17889e-02
1802	1.14332e-02	5.30865e-04	2.23355e-02
1803	1.22835e-02	1.60316e-03	2.29638e-02
1804	1.26785e-02	1.88504e-03	2.34720e-02
1805	1.29577e-02	1.96768e-03	2.39478e-02
1806	1.35900e-02	2.57815e-03	2.46019e-02
1807	1.39562e-02	2.75907e-03	2.51533e-02
1808	1.41256e-02	2.59507e-03	2.56561e-02
1809	1.51779e-02	3.88533e-03	2.64705e-02
1810	1.57566e-02	4.32503e-03	2.71881e-02
1811	1.66408e-02	5.29322e-03	2.79884e-02
1812	1.73676e-02	6.06359e-03	2.86716e-02
1813	1.78865e-02	6.49000e-03	2.92829e-02
1814	1.75880e-02	5.72737e-03	2.94486e-02
1815	1.82326e-02	6.48303e-03	2.99823e-02
1816	1.86572e-02	6.84882e-03	3.04655e-02
1817	1.90323e-02	7.01099e-03	3.10536e-02
1818	1.89703e-02	6.67466e-03	3.12660e-02
1819	1.98783e-02	7.82743e-03	3.19292e-02
1820	1.98510e-02	7.58605e-03	3.21159e-02
1821	2.02060e-02	7.89785e-03	3.25142e-02
1822	2.09692e-02	8.72090e-03	3.32175e-02
1823	2.14346e-02	9.16649e-03	3.37028e-02
1824	2.17303e-02	9.32210e-03	3.41386e-02
1825	2.17762e-02	9.14257e-03	3.44097e-02
1826	2.23336e-02	9.78005e-03	3.48871e-02
1827	2.22428e-02	9.37498e-03	3.51105e-02
1828	2.20513e-02	8.73857e-03	3.53640e-02
1829	2.28724e-02	9.81477e-03	3.59300e-02
1830	2.20391e-02	8.02963e-03	3.60485e-02
1831	2.31428e-02	9.65221e-03	3.66334e-02
1832	2.32891e-02	9.76696e-03	3.68111e-02
1833	2.31796e-02	9.52943e-03	3.68298e-02
1834	2.26987e-02	8.63075e-03	3.67667e-02
1835	2.30121e-02	9.04198e-03	3.69822e-02
1836	2.22882e-02	7.77548e-03	3.68010e-02
