Year	dT_glob	dT_NH	dT_SH	dT_glob_air	dT_NH_air	dT_SH_air	dT_glob_sea	dT_NH_sea	dT_SHsea	dSL(m)	dSL_thermal(m)	dSL_ice(m)
1750	-7.32719e-04	-1.27601e-03	-1.89431e-04	-1.17921e-03	-2.03697e-03	-3.21454e-04	-4.73976e-04	-7.89489e-04	-1.58462e-04	-1.27089e-05	-8.25581e-06	-4.45305e-06
1751	-2.29772e-03	-3.73653e-03	-8.58916e-04	-2.99242e-03	-4.96177e-03	-1.02308e-03	-1.88680e-03	-2.95318e-03	-8.20409e-04	-5.57263e-05	-3.74248e-05	-1.83016e-05
1752	-3.03803e-03	-4.67266e-03	-1.40340e-03	-3.58727e-03	-5.72634e-03	-1.44820e-03	-2.69594e-03	-3.99900e-03	-1.39289e-03	-9.82478e-05	-6.20435e-05	-3.62042e-05
1753	-3.38311e-03	-5.05011e-03	-1.71611e-03	-3.83097e-03	-5.99966e-03	-1.66227e-03	-3.08588e-03	-4.44302e-03	-1.72874e-03	-1.35835e-04	-8.03578e-05	-5.54767e-05
1754	-3.58103e-03	-5.26019e-03	-1.90187e-03	-3.96595e-03	-6.15510e-03	-1.77680e-03	-3.30962e-03	-4.68804e-03	-1.93121e-03	-1.70115e-04	-9.49981e-05	-7.51166e-05
1755	-3.70068e-03	-5.38243e-03	-2.01893e-03	-4.02938e-03	-6.22446e-03	-1.83430e-03	-3.45316e-03	-4.84408e-03	-2.06224e-03	-2.01851e-04	-1.07235e-04	-9.46156e-05
1756	-3.72679e-03	-5.38381e-03	-2.06977e-03	-3.99338e-03	-6.16017e-03	-1.82659e-03	-3.50713e-03	-4.88744e-03	-2.12682e-03	-2.30314e-04	-1.16911e-04	-1.13404e-04
1757	-3.72073e-03	-5.37085e-03	-2.07060e-03	-3.95617e-03	-6.12716e-03	-1.78518e-03	-3.51243e-03	-4.88730e-03	-2.13756e-03	-2.55932e-04	-1.24624e-04	-1.31309e-04
1758	-3.72706e-03	-5.38790e-03	-2.06622e-03	-3.93644e-03	-6.12418e-03	-1.74871e-03	-3.52893e-03	-4.91716e-03	-2.14070e-03	-2.80090e-04	-1.31646e-04	-1.48444e-04
1759	-3.69281e-03	-5.33891e-03	-2.04671e-03	-3.87175e-03	-6.04176e-03	-1.70173e-03	-3.50859e-03	-4.88954e-03	-2.12764e-03	-3.01966e-04	-1.37366e-04	-1.64600e-04
1760	-3.67764e-03	-5.32110e-03	-2.03417e-03	-3.85341e-03	-6.02394e-03	-1.68287e-03	-3.49416e-03	-4.87175e-03	-2.11658e-03	-3.22449e-04	-1.42513e-04	-1.79936e-04
1761	-3.68705e-03	-5.33598e-03	-2.03812e-03	-3.85250e-03	-6.03268e-03	-1.67231e-03	-3.50724e-03	-4.89055e-03	-2.12393e-03	-3.42384e-04	-1.47743e-04	-1.94641e-04
1762	-3.62917e-03	-5.26215e-03	-1.99619e-03	-3.75203e-03	-5.91282e-03	-1.59124e-03	-3.46866e-03	-4.84614e-03	-2.09118e-03	-3.60140e-04	-1.51800e-04	-2.08340e-04
1763	-3.49512e-03	-5.10039e-03	-1.88985e-03	-3.57201e-03	-5.70468e-03	-1.43934e-03	-3.35479e-03	-4.71404e-03	-1.99553e-03	-3.74548e-04	-1.53940e-04	-2.20608e-04
1764	-3.30675e-03	-4.88284e-03	-1.73067e-03	-3.33241e-03	-5.43181e-03	-1.23302e-03	-3.18963e-03	-4.53187e-03	-1.84740e-03	-3.85518e-04	-1.54345e-04	-2.31173e-04
1765	-3.08603e-03	-4.64048e-03	-1.53157e-03	-3.07953e-03	-5.16344e-03	-9.95634e-04	-2.98171e-03	-4.30613e-03	-1.65729e-03	-3.92933e-04	-1.53024e-04	-2.39909e-04
1766	-2.88196e-03	-4.44056e-03	-1.32336e-03	-2.84854e-03	-4.94376e-03	-7.53316e-04	-2.78796e-03	-4.11884e-03	-1.45707e-03	-3.98059e-04	-1.51059e-04	-2.47000e-04
1767	-2.63924e-03	-4.18325e-03	-1.09524e-03	-2.56833e-03	-4.64842e-03	-4.88246e-04	-2.56173e-03	-3.88584e-03	-1.23762e-03	-4.00092e-04	-1.47805e-04	-2.52288e-04
1768	-2.41876e-03	-3.97378e-03	-8.63741e-04	-2.34372e-03	-4.44906e-03	-2.38381e-04	-2.34017e-03	-3.66991e-03	-1.01043e-03	-3.99811e-04	-1.43826e-04	-2.55985e-04
1769	-2.23650e-03	-3.81196e-03	-6.61038e-04	-2.14755e-03	-4.27793e-03	-1.71620e-05	-2.16306e-03	-3.51405e-03	-8.12071e-04	-3.98509e-04	-1.40108e-04	-2.58401e-04
1770	-2.00735e-03	-3.56985e-03	-4.44846e-04	-1.89185e-03	-4.00638e-03	2.22693e-04	-1.94609e-03	-3.29075e-03	-6.01429e-04	-3.94627e-04	-1.35313e-04	-2.59314e-04
1771	-1.74465e-03	-3.27847e-03	-2.10830e-04	-1.59024e-03	-3.66562e-03	4.85148e-04	-1.70252e-03	-3.03095e-03	-3.74084e-04	-3.88085e-04	-1.29503e-04	-2.58582e-04
