Year	OHC700	OHCTOT
1750	0.00000e+00	0.00000e+00
1751	6.39354e-04	6.40130e-04
1752	2.89450e-03	2.90081e-03
1753	6.66674e-03	6.68861e-03
1754	1.13118e-02	1.13617e-02
1755	1.70405e-02	1.71323e-02
1756	2.35917e-02	2.37414e-02
1757	3.10306e-02	3.12551e-02
1758	3.91305e-02	3.94488e-02
1759	4.71240e-02	4.75545e-02
1760	5.43787e-02	5.49377e-02
1761	6.15926e-02	6.22943e-02
1762	6.93905e-02	7.02517e-02
1763	7.80657e-02	7.91060e-02
1764	8.81794e-02	8.94230e-02
1765	9.93874e-02	1.00863e-01
1766	1.11412e-01	1.13152e-01
1767	1.24412e-01	1.26450e-01
1768	1.37984e-01	1.40357e-01
1769	1.51591e-01	1.54335e-01
1770	1.65340e-01	1.68495e-01
1771	1.80091e-01	1.83695e-01
1772	1.96248e-01	2.00347e-01
1773	2.13176e-01	2.17818e-01
1774	2.30114e-01	2.35349e-01
1775	2.47441e-01	2.53320e-01
1776	2.65063e-01	2.71638e-01
1777	2.83328e-01	2.90654e-01
1778	3.01973e-01	3.10108e-01
1779	3.20270e-01	3.29271e-01
1780	3.38390e-01	3.48316e-01
1781	3.56744e-01	3.67654e-01
1782	3.75273e-01	3.87228e-01
1783	3.93785e-01	4.06848e-01
1784	4.12777e-01	4.27014e-01
1785	4.31827e-01	4.47303e-01
1786	4.50730e-01	4.67514e-01
1787	4.69684e-01	4.87845e-01
1788	4.88932e-01	5.08539e-01
1789	5.08420e-01	5.29545e-01
1790	5.28171e-01	5.50887e-01
1791	5.48086e-01	5.72468e-01
1792	5.68230e-01	5.94354e-01
1793	5.88573e-01	6.16515e-01
1794	6.09046e-01	6.38883e-01
1795	6.30166e-01	6.61977e-01
1796	6.51527e-01	6.85394e-01
1797	6.73402e-01	7.09406e-01
1798	6.96040e-01	7.34263e-01
1799	7.18929e-01	7.59458e-01
1800	7.41865e-01	7.84785e-01
1801	7.65527e-01	8.10924e-01
1802	7.89239e-01	8.37201e-01
1803	8.13404e-01	8.64018e-01
1804	8.39023e-01	8.92380e-01
1805	8.65434e-01	9.21628e-01
1806	8.92705e-01	9.51832e-01
1807	9.20888e-01	9.83047e-01
1808	9.50398e-01	1.01569e+00
1809	9.81064e-01	1.04959e+00
1810	1.01257e+00	1.08444e+00
1811	1.04507e+00	1.12040e+00
1812	1.07844e+00	1.15733e+00
1813	1.11266e+00	1.19523e+00
1814	1.14746e+00	1.23382e+00
1815	1.18301e+00	1.27328e+00
1816	1.21867e+00	1.31297e+00
1817	1.25483e+00	1.35328e+00
1818	1.29207e+00	1.39478e+00
1819	1.32984e+00	1.43695e+00
1820	1.36774e+00	1.47936e+00
1821	1.40611e+00	1.52238e+00
1822	1.44483e+00	1.56588e+00
1823	1.48361e+00	1.60956e+00
1824	1.52322e+00	1.65422e+00
1825	1.56314e+00	1.69932e+00
1826	1.60335e+00	1.74484e+00
1827	1.64377e+00	1.79071e+00
1828	1.68442e+00	1.83696e+00
1829	1.72550e+00	1.88378e+00
1830	1.76438e+00	1.92854e+00
1831	1.80237e+00	1.97254e+00
1832	1.84125e+00	2.01757e+00
1833	1.87991e+00	2.06252e+00
1834	1.91818e+00	2.10723e+00
1835	1.95648e+00	2.15210e+00
1836	1.99277e+00	2.19511e+00
1837	2.02774e+00	2.23692e+00
1838	2.06256e+00	2.27872e+00
1839	2.09656e+00	2.31983e+00
1840	2.12945e+00	2.35997e+00
1841	2.16216e+00	2.40005e+00
1842	2.19446e+00	2.43985e+00
1843	2.22694e+00	2.47997e+00
1844	2.26088e+00	2.52167e+00
1845	2.29500e+00	2.56370e+00
1846	2.33062e+00	2.60735e+00
1847	2.36724e+00	2.65215e+00
1848	2.40368e+00	2.69689e+00
1849	2.43978e+00	2.74145e+00
1850	2.47540e+00	2.78564e+00
1851	2.51172e+00	2.83067e+00
1852	2.54942e+00	2.87720e+00
1853	2.58874e+00	2.92550e+00
1854	2.62657e+00	2.97243e+00
1855	2.66466e+00	3.01976e+00
1856	2.70418e+00	3.06865e+00
1857	2.74566e+00	3.11963e+00
1858	2.79049e+00	3.17411e+00
1859	2.83623e+00	3.22964e+00
1860	2.88024e+00	3.28358e+00
1861	2.92439e+00	3.33780e+00
1862	2.97147e+00	3.39511e+00
1863	3.01991e+00	3.45391e+00
1864	3.06845e+00	3.51297e+00
1865	3.11731e+00	3.57249e+00
1866	3.16748e+00	3.63348e+00
1867	3.21776e+00	3.69473e+00
1868	3.26870e+00	3.75679e+00
1869	3.31886e+00	3.81823e+00
1870	3.36762e+00	3.87842e+00
1871	3.41403e+00	3.93640e+00
1872	3.45368e+00	3.98776e+00
1873	3.48719e+00	4.03308e+00
1874	3.52503e+00	4.08286e+00
1875	3.56484e+00	4.13474e+00
1876	3.60241e+00	4.18452e+00
1877	3.64010e+00	4.23455e+00
1878	3.67986e+00	4.28679e+00
1879	3.71753e+00	4.33708e+00
1880	3.74372e+00	4.37601e+00
1881	3.76350e+00	4.40861e+00
1882	3.78080e+00	4.43880e+00
1883	3.79232e+00	4.46329e+00
1884	3.80385e+00	4.48785e+00
1885	3.82064e+00	4.51775e+00
1886	3.84237e+00	4.55269e+00
1887	3.86369e+00	4.58732e+00
1888	3.87243e+00	4.60944e+00
1889	3.87770e+00	4.62813e+00
1890	3.87719e+00	4.64108e+00
1891	3.86534e+00	4.64267e+00
1892	3.85263e+00	4.64340e+00
1893	3.84863e+00	4.65283e+00
1894	3.84846e+00	4.66613e+00
1895	3.83958e+00	4.67073e+00
1896	3.82184e+00	4.66644e+00
1897	3.79648e+00	4.65447e+00
1898	3.75997e+00	4.63127e+00
1899	3.70282e+00	4.58730e+00
1900	3.62785e+00	4.52531e+00
1901	3.54555e+00	4.45577e+00
1902	3.46120e+00	4.38396e+00
1903	3.36019e+00	4.29525e+00
1904	3.25260e+00	4.19967e+00
1905	3.13953e+00	4.09833e+00
1906	3.01168e+00	3.98188e+00
1907	2.85331e+00	3.83453e+00
1908	2.70813e+00	3.69991e+00
1909	2.57982e+00	3.58185e+00
1910	2.43625e+00	3.44815e+00
1911	2.29581e+00	3.31716e+00
1912	2.15212e+00	3.18252e+00
1913	1.98304e+00	3.02202e+00
1914	1.85336e+00	2.90040e+00
1915	1.77275e+00	2.82757e+00
1916	1.66507e+00	2.72736e+00
1917	1.52196e+00	2.59122e+00
1918	1.38905e+00	2.46471e+00
1919	1.35600e+00	2.43770e+00
1920	1.34615e+00	2.43379e+00
1921	1.38199e+00	2.47537e+00
1922	1.45916e+00	2.55833e+00
1923	1.44852e+00	2.55330e+00
1924	1.39719e+00	2.50709e+00
1925	1.35871e+00	2.47327e+00
1926	1.32454e+00	2.44336e+00
1927	1.26545e+00	2.38812e+00
1928	1.19723e+00	2.32328e+00
1929	1.11419e+00	2.24316e+00
1930	1.06809e+00	2.19955e+00
1931	1.13685e+00	2.27070e+00
1932	1.31941e+00	2.45594e+00
1933	1.51855e+00	2.65821e+00
1934	1.64856e+00	2.79159e+00
1935	1.70897e+00	2.85530e+00
1936	1.71195e+00	2.86131e+00
1937	1.65658e+00	2.80858e+00
1938	1.63109e+00	2.78533e+00
1939	1.62113e+00	2.77747e+00
1940	1.53756e+00	2.69575e+00
1941	1.40366e+00	2.56323e+00
1942	1.26134e+00	2.42184e+00
1943	1.12466e+00	2.28570e+00
1944	1.02191e+00	2.18323e+00
1945	1.03745e+00	2.19903e+00
1946	1.13825e+00	2.30050e+00
1947	1.17274e+00	2.33599e+00
1948	1.13123e+00	2.29538e+00
1949	1.11452e+00	2.27942e+00
1950	1.06137e+00	2.22694e+00
1951	9.35411e-01	2.10129e+00
1952	8.03740e-01	1.96948e+00
1953	6.84312e-01	1.84956e+00
1954	5.83830e-01	1.74830e+00
1955	4.37177e-01	1.60059e+00
1956	2.06463e-01	1.36826e+00
1957	-6.70753e-02	1.09236e+00
1958	-3.35441e-01	8.20892e-01
1959	-6.16745e-01	5.35827e-01
1960	-9.32809e-01	2.15245e-01
1961	-1.38158e+00	-2.39010e-01
1962	-1.91007e+00	-7.74431e-01
1963	-2.41509e+00	-1.28771e+00
1964	-2.92571e+00	-1.80784e+00
1965	-3.43531e+00	-2.32820e+00
1966	-3.92693e+00	-2.83181e+00
1967	-4.35098e+00	-3.26897e+00
1968	-4.74389e+00	-3.67591e+00
1969	-5.15160e+00	-4.09874e+00
1970	-5.59246e+00	-4.55593e+00
1971	-6.01235e+00	-4.99353e+00
1972	-6.39178e+00	-5.39189e+00
1973	-6.80661e+00	-5.82695e+00
1974	-7.18251e+00	-6.22454e+00
1975	-7.43418e+00	-6.49903e+00
1976	-7.67326e+00	-6.76186e+00
1977	-7.92053e+00	-7.03403e+00
1978	-8.10960e+00	-7.24910e+00
1979	-8.26237e+00	-7.42886e+00
1980	-8.37138e+00	-7.56579e+00
1981	-8.36630e+00	-7.58937e+00
1982	-8.23764e+00	-7.48973e+00
1983	-8.02860e+00	-7.30983e+00
1984	-7.79157e+00	-7.10200e+00
1985	-7.53774e+00	-6.87749e+00
1986	-7.24797e+00	-6.61712e+00
1987	-6.94760e+00	-6.34616e+00
1988	-6.64342e+00	-6.07141e+00
1989	-6.31390e+00	-5.77126e+00
1990	-5.94753e+00	-5.43403e+00
1991	-5.51827e+00	-5.03349e+00
1992	-5.00208e+00	-4.54530e+00
1993	-4.41233e+00	-3.98250e+00
1994	-3.74969e+00	-3.34554e+00
1995	-3.02384e+00	-2.64388e+00
1996	-2.25643e+00	-1.89898e+00
1997	-1.45837e+00	-1.12165e+00
1998	-6.24459e-01	-3.06559e-01
1999	2.96490e-01	5.97704e-01
2000	1.25358e+00	1.54055e+00
2001	2.17630e+00	2.45144e+00
2002	3.09631e+00	3.36200e+00
2003	3.97201e+00	4.23069e+00
2004	4.74200e+00	4.99593e+00
2005	5.41599e+00	5.66725e+00
2006	6.06263e+00	6.31324e+00
2007	6.74951e+00	7.00180e+00
2008	7.51113e+00	7.76777e+00
2009	8.38182e+00	8.64591e+00
2010	9.32906e+00	9.60408e+00
2011	1.02808e+01	1.05703e+01
2012	1.12520e+01	1.15596e+01
2013	1.22588e+01	1.25882e+01
2014	1.32908e+01	1.36456e+01
2015	1.45222e+01	1.49066e+01
2016	1.59413e+01	1.63601e+01
2017	1.74320e+01	1.78902e+01
2018	1.89939e+01	1.94966e+01
2019	2.06216e+01	2.11741e+01
2020	2.23125e+01	2.29200e+01
2021	2.40100e+01	2.46779e+01
2022	2.56735e+01	2.64072e+01
