Year	RIB_glob	RIB_N	RIB_S
1750	0.00000e+00	0.00000e+00	0.00000e+00
1751	8.51366e-04	7.85046e-04	9.17686e-04
1752	2.30818e-03	2.29001e-03	2.32635e-03
1753	3.12387e-03	3.00091e-03	3.24684e-03
1754	3.58800e-03	3.29088e-03	3.88512e-03
1755	4.62860e-03	4.48279e-03	4.77441e-03
1756	4.85394e-03	4.47951e-03	5.22836e-03
1757	5.82932e-03	5.62248e-03	6.03616e-03
1758	5.90001e-03	5.53027e-03	6.26975e-03
1759	5.67889e-03	5.15139e-03	6.20639e-03
1760	4.86757e-03	4.06270e-03	5.67243e-03
1761	5.48555e-03	4.73800e-03	6.23311e-03
1762	5.78190e-03	4.88809e-03	6.67572e-03
1763	6.71708e-03	5.81319e-03	7.62098e-03
1764	7.88037e-03	7.12147e-03	8.63927e-03
1765	8.38534e-03	7.47921e-03	9.29147e-03
1766	9.05163e-03	8.15438e-03	9.94887e-03
1767	9.80971e-03	8.92981e-03	1.06896e-02
1768	9.95376e-03	8.93669e-03	1.09708e-02
1769	9.88498e-03	8.68545e-03	1.10845e-02
1770	1.01501e-02	8.86913e-03	1.14312e-02
1771	1.13009e-02	1.03699e-02	1.22319e-02
1772	1.22662e-02	1.14026e-02	1.31298e-02
1773	1.25174e-02	1.15830e-02	1.34518e-02
1774	1.23377e-02	1.12494e-02	1.34259e-02
1775	1.30361e-02	1.21369e-02	1.39352e-02
1776	1.28994e-02	1.17526e-02	1.40463e-02
1777	1.39075e-02	1.29973e-02	1.48176e-02
1778	1.36409e-02	1.26077e-02	1.46741e-02
1779	1.34315e-02	1.22951e-02	1.45678e-02
1780	1.34238e-02	1.21725e-02	1.46752e-02
1781	1.38089e-02	1.25538e-02	1.50639e-02
1782	1.37925e-02	1.23732e-02	1.52117e-02
1783	1.38479e-02	1.23449e-02	1.53509e-02
1784	1.45173e-02	1.32077e-02	1.58268e-02
1785	1.41159e-02	1.24896e-02	1.57421e-02
1786	1.43131e-02	1.26583e-02	1.59679e-02
1787	1.43023e-02	1.25670e-02	1.60377e-02
1788	1.47813e-02	1.30413e-02	1.65212e-02
1789	1.47913e-02	1.28915e-02	1.66911e-02
1790	1.52103e-02	1.33035e-02	1.71170e-02
1791	1.51682e-02	1.30577e-02	1.72786e-02
1792	1.55880e-02	1.34553e-02	1.77207e-02
1793	1.55957e-02	1.33266e-02	1.78647e-02
1794	1.58440e-02	1.34499e-02	1.82381e-02
1795	1.65937e-02	1.43413e-02	1.88462e-02
1796	1.63872e-02	1.38288e-02	1.89456e-02
1797	1.73205e-02	1.49032e-02	1.97377e-02
1798	1.76650e-02	1.51021e-02	2.02279e-02
1799	1.77953e-02	1.50389e-02	2.05517e-02
1800	1.78326e-02	1.48324e-02	2.08328e-02
1801	1.88638e-02	1.60588e-02	2.16689e-02
1802	1.81760e-02	1.47372e-02	2.16147e-02
1803	1.94268e-02	1.62517e-02	2.26019e-02
1804	2.04513e-02	1.73879e-02	2.35146e-02
1805	2.07481e-02	1.74605e-02	2.40356e-02
1806	2.17304e-02	1.85514e-02	2.49094e-02
1807	2.22314e-02	1.89066e-02	2.55563e-02
1808	2.36749e-02	2.06021e-02	2.67478e-02
1809	2.41241e-02	2.09209e-02	2.73274e-02
1810	2.49518e-02	2.17218e-02	2.81817e-02
1811	2.56882e-02	2.23937e-02	2.89828e-02
1812	2.63375e-02	2.29765e-02	2.96985e-02
1813	2.70344e-02	2.36344e-02	3.04344e-02
1814	2.73296e-02	2.37901e-02	3.08690e-02
1815	2.82029e-02	2.47778e-02	3.16281e-02
1816	2.77255e-02	2.38063e-02	3.16446e-02
1817	2.89092e-02	2.51061e-02	3.27123e-02
